county,year,state_county_fips,state_fips_code,county_fips_code,total_admission_count,total_admission_percent,total_rate_per_100k_county_pop,felon_new_admission_count,felon_new_admission_percent,parole_violator_new_term_count,parole_violator_new_term_percent
san joaquin county,2010,06077,06,077,1098,1.9,148.1,795,1.9,303,1.8
san luis obispo county,2010,06079,06,079,325,0.6,120.5,228,0.5,97,0.6
san mateo county,2010,06081,06,081,577,1,78.3,404,1,173,1
santa barbara county,2010,06083,06,083,676,1.2,155.6,494,1.2,182,1.1
santa clara county,2010,06085,06,085,1815,3.1,98.8,1343,3.2,472,2.7
santa cruz county,2010,06087,06,087,164,0.3,61.2,125,0.3,39,0.2
shasta county,2010,06089,06,089,511,0.9,266.5,413,1,98,0.6
sierra county,2010,06091,06,091,2,0,55.1,2,0,0,0
siskiyou county,2010,06093,06,093,74,0.1,157.1,64,0.2,10,0.1
solano county,2010,06095,06,095,647,1.1,146.7,454,1.1,193,1.1
sonoma county,2010,06097,06,097,422,0.7,85.2,350,0.8,72,0.4
stanislaus county,2010,06099,06,099,993,1.7,177.4,680,1.6,313,1.8
sutter county,2010,06101,06,101,213,0.4,208.2,176,0.4,37,0.2
tehama county,2010,06103,06,103,206,0.4,314.1,175,0.4,31,0.2
trinity county,2010,06105,06,105,15,0,98.9,11,0,4,0
tulare county,2010,06107,06,107,933,1.6,199.8,708,1.7,225,1.3
tuolumne county,2010,06109,06,109,54,0.1,92,33,0.1,21,0.1
ventura county,2010,06111,06,111,737,1.3,86.1,538,1.3,199,1.2
yolo county,2010,06113,06,113,438,0.7,212.5,339,0.8,99,0.6
yuba county,2010,06115,06,115,182,0.3,226.3,140,0.3,42,0.2
alameda county,2009,06001,06,001,1213,1.8,78.7,904,1.9,309,1.5
alpine county,2009,06003,06,003,1,0,73.6,1,0,0,0
amador county,2009,06005,06,005,69,0.1,173.1,60,0.1,9,0
butte county,2009,06007,06,007,437,0.6,192.7,336,0.7,101,0.5
calaveras county,2009,06009,06,009,49,0.1,103.8,41,0.1,8,0
colusa county,2009,06011,06,011,33,0,141.6,32,0.1,1,0
contra costa county,2009,06013,06,013,517,0.8,48.6,398,0.8,119,0.6
del norte county,2009,06015,06,015,38,0.1,124,33,0.1,5,0
el dorado county,2009,06017,06,017,157,0.2,84.3,126,0.3,31,0.1
fresno county,2009,06019,06,019,2228,3.3,230.9,1647,3.5,581,2.8
glenn county,2009,06021,06,021,35,0.1,115.1,24,0.1,11,0.1
humboldt county,2009,06023,06,023,232,0.3,173.1,146,0.3,86,0.4
imperial county,2009,06025,06,025,188,0.3,101.8,109,0.2,79,0.4
inyo county,2009,06027,06,027,48,0.1,251.5,40,0.1,8,0
kern county,2009,06029,06,029,2278,3.4,267,1539,3.3,739,3.6
kings county,2009,06031,06,031,638,0.9,396.2,502,1.1,136,0.7
lake county,2009,06033,06,033,147,0.2,220.3,129,0.3,18,0.1
lassen county,2009,06035,06,035,55,0.1,146.4,48,0.1,7,0
los angeles county,2009,06037,06,037,20560,30.3,196.8,14137,30.1,6423,30.9
madera county,2009,06039,06,039,316,0.5,199.7,235,0.5,81,0.4
marin county,2009,06041,06,041,119,0.2,46.9,99,0.2,20,0.1
mariposa county,2009,06043,06,043,31,0,163.7,27,0.1,4,0
mendocino county,2009,06045,06,045,139,0.2,150.3,102,0.2,37,0.2
merced county,2009,06047,06,047,433,0.6,161.7,326,0.7,107,0.5
modoc county,2009,06049,06,049,10,0,93.6,8,0,2,0
mono county,2009,06051,06,051,20,0,137.1,17,0,3,0
monterey county,2009,06053,06,053,626,0.9,145.4,466,1,160,0.8
napa county,2009,06055,06,055,161,0.2,114.3,119,0.3,42,0.2
nevada county,2009,06057,06,057,48,0.1,47.1,37,0.1,11,0.1
orange county,2009,06059,06,059,4276,6.3,134,3001,6.4,1275,6.1
placer county,2009,06061,06,061,351,0.5,103,255,0.5,96,0.5
plumas county,2009,06063,06,063,40,0.1,184,35,0.1,5,0
riverside county,2009,06065,06,065,3741,5.5,171.7,2484,5.3,1257,6
sacramento county,2009,06067,06,067,2383,3.5,165.8,1694,3.6,689,3.3
san benito county,2009,06069,06,069,68,0.1,108.9,53,0.1,15,0.1
san bernardino county,2009,06071,06,071,6115,9,286.2,4133,8.8,1982,9.5
san diego county,2009,06073,06,073,4170,6.2,131.6,2973,6.3,1197,5.8
san francisco county,2009,06075,06,075,632,0.9,77.6,427,0.9,205,1
san joaquin county,2009,06077,06,077,1330,2,183.7,988,2.1,342,1.6
san luis obispo county,2009,06079,06,079,317,0.5,118.3,217,0.5,100,0.5
san mateo county,2009,06081,06,081,674,1,91.8,503,1.1,171,0.8
santa barbara county,2009,06083,06,083,764,1.1,177.4,572,1.2,192,0.9
santa clara county,2009,06085,06,085,2173,3.2,119.1,1641,3.5,532,2.6
santa cruz county,2009,06087,06,087,164,0.2,61.5,136,0.3,28,0.1
shasta county,2009,06089,06,089,511,0.8,270.2,403,0.9,108,0.5
sierra county,2009,06091,06,091,1,0,27.4,1,0,0,0
siskiyou county,2009,06093,06,093,48,0.1,102.4,40,0.1,8,0
solano county,2009,06095,06,095,604,0.9,138.5,426,0.9,178,0.9
sonoma county,2009,06097,06,097,452,0.7,92,368,0.8,84,0.4
stanislaus county,2009,06099,06,099,1038,1.5,188.9,711,1.5,327,1.6
sutter county,2009,06101,06,101,275,0.4,274.9,222,0.5,53,0.3
tehama county,2009,06103,06,103,143,0.2,221.3,116,0.2,27,0.1
trinity county,2009,06105,06,105,23,0,153.3,18,0,5,0
tulare county,2009,06107,06,107,899,1.3,196.9,660,1.4,239,1.1
tuolumne county,2009,06109,06,109,76,0.1,130.1,65,0.1,11,0.1
ventura county,2009,06111,06,111,821,1.2,97,603,1.3,218,1
yolo county,2009,06113,06,113,525,0.8,259,433,0.9,92,0.4
yuba county,2009,06115,06,115,193,0.3,246,140,0.3,53,0.3
alameda county,2008,06001,06,001,1485,2.2,97,1115,2.4,370,1.8
alpine county,2008,06003,06,003,1,0,74.4,1,0,0,0
amador county,2008,06005,06,005,74,0.1,187.8,62,0.1,12,0.1
butte county,2008,06007,06,007,520,0.8,232.6,381,0.8,139,0.7
calaveras county,2008,06009,06,009,62,0.1,132.9,56,0.1,6,0
colusa county,2008,06011,06,011,30,0,131.4,26,0.1,4,0
contra costa county,2008,06013,06,013,494,0.7,46.9,387,0.8,107,0.5
del norte county,2008,06015,06,015,50,0.1,165,38,0.1,12,0.1
el dorado county,2008,06017,06,017,199,0.3,108.5,154,0.3,45,0.2
fresno county,2008,06019,06,019,2268,3.3,239.7,1673,3.6,595,2.9
glenn county,2008,06021,06,021,45,0.1,150.3,34,0.1,11,0.1
humboldt county,2008,06023,06,023,245,0.4,183.8,159,0.3,86,0.4
imperial county,2008,06025,06,025,167,0.2,92.9,100,0.2,67,0.3
inyo county,2008,06027,06,027,40,0.1,210.4,35,0.1,5,0
kern county,2008,06029,06,029,2219,3.3,265.7,1521,3.2,698,3.4
kings county,2008,06031,06,031,543,0.8,344.6,422,0.9,121,0.6
lake county,2008,06033,06,033,154,0.2,233.5,134,0.3,20,0.1
lassen county,2008,06035,06,035,72,0.1,193.4,62,0.1,10,0
los angeles county,2008,06037,06,037,21555,31.8,207.6,14705,31.3,6850,32.9
madera county,2008,06039,06,039,364,0.5,235.7,269,0.6,95,0.5
marin county,2008,06041,06,041,131,0.2,51.7,106,0.2,25,0.1
mariposa county,2008,06043,06,043,29,0,154.5,24,0.1,5,0
mendocino county,2008,06045,06,045,160,0.2,174.3,139,0.3,21,0.1
merced county,2008,06047,06,047,418,0.6,159.8,284,0.6,134,0.6
modoc county,2008,06049,06,049,5,0,47.3,5,0,0,0
mono county,2008,06051,06,051,10,0,69.7,9,0,1,0
monterey county,2008,06053,06,053,580,0.9,135.6,408,0.9,172,0.8
napa county,2008,06055,06,055,157,0.2,113,125,0.3,32,0.2
nevada county,2008,06057,06,057,36,0.1,35.6,31,0.1,5,0
orange county,2008,06059,06,059,4646,6.9,147.4,3199,6.8,1447,7
placer county,2008,06061,06,061,369,0.5,110.5,280,0.6,89,0.4
plumas county,2008,06063,06,063,35,0.1,161.5,30,0.1,5,0
riverside county,2008,06065,06,065,4466,6.6,210.7,2867,6.1,1599,7.7
sacramento county,2008,06067,06,067,2335,3.4,164.1,1716,3.7,619,3
san benito county,2008,06069,06,069,49,0.1,80.6,36,0.1,13,0.1
san bernardino county,2008,06071,06,071,6244,9.2,297.9,4162,8.9,2082,10
san diego county,2008,06073,06,073,4261,6.3,135.8,2902,6.2,1359,6.5
san francisco county,2008,06075,06,075,630,0.9,77.8,457,1,173,0.8
san joaquin county,2008,06077,06,077,1153,1.7,163.1,911,1.9,242,1.2
san luis obispo county,2008,06079,06,079,291,0.4,109.3,202,0.4,89,0.4
san mateo county,2008,06081,06,081,687,1,93.9,504,1.1,183,0.9
santa barbara county,2008,06083,06,083,631,0.9,147.8,444,0.9,187,0.9
santa clara county,2008,06085,06,085,2376,3.5,131.3,1744,3.7,632,3
santa cruz county,2008,06087,06,087,159,0.2,59.9,132,0.3,27,0.1
shasta county,2008,06089,06,089,537,0.8,287.9,412,0.9,125,0.6
sierra county,2008,06091,06,091,5,0,136.7,5,0,0,0
siskiyou county,2008,06093,06,093,65,0.1,139.4,51,0.1,14,0.1
solano county,2008,06095,06,095,643,0.9,149,449,1,194,0.9
sonoma county,2008,06097,06,097,431,0.6,88.4,345,0.7,86,0.4
stanislaus county,2008,06099,06,099,1046,1.5,194,714,1.5,332,1.6
sutter county,2008,06101,06,101,335,0.5,342.5,264,0.6,71,0.3
tehama county,2008,06103,06,103,166,0.2,260.6,139,0.3,27,0.1
trinity county,2008,06105,06,105,20,0,134.7,17,0,3,0
tulare county,2008,06107,06,107,935,1.4,209.4,675,1.4,260,1.2
tuolumne county,2008,06109,06,109,89,0.1,153,62,0.1,27,0.1
ventura county,2008,06111,06,111,838,1.2,100,586,1.2,252,1.2
yolo county,2008,06113,06,113,562,0.8,282,451,1,111,0.5
yuba county,2008,06115,06,115,219,0.3,286.1,165,0.4,54,0.3
alameda county,2007,06001,06,001,1315,1.9,86.5,905,1.9,410,2
alpine county,2007,06003,06,003,2,0,150.3,2,0,0,0
amador county,2007,06005,06,005,76,0.1,195.1,65,0.1,11,0.1
butte county,2007,06007,06,007,486,0.7,220.5,385,0.8,101,0.5
calaveras county,2007,06009,06,009,64,0.1,138.8,57,0.1,7,0
colusa county,2007,06011,06,011,38,0.1,169.9,30,0.1,8,0
contra costa county,2007,06013,06,013,468,0.7,44.9,341,0.7,127,0.6
del norte county,2007,06015,06,015,51,0.1,170.2,41,0.1,10,0
el dorado county,2007,06017,06,017,181,0.3,100.3,152,0.3,29,0.1
fresno county,2007,06019,06,019,2629,3.9,283.2,1895,4,734,3.5
glenn county,2007,06021,06,021,60,0.1,203.5,50,0.1,10,0
humboldt county,2007,06023,06,023,256,0.4,193.2,179,0.4,77,0.4
imperial county,2007,06025,06,025,178,0.3,101.7,119,0.3,59,0.3
inyo county,2007,06027,06,027,45,0.1,237.6,36,0.1,9,0
kern county,2007,06029,06,029,2250,3.3,275.4,1586,3.4,664,3.2
kings county,2007,06031,06,031,564,0.8,365.9,461,1,103,0.5
lake county,2007,06033,06,033,193,0.3,296,153,0.3,40,0.2
lassen county,2007,06035,06,035,79,0.1,214.1,65,0.1,14,0.1
los angeles county,2007,06037,06,037,22311,32.9,216.1,14848,31.6,7463,35.9
madera county,2007,06039,06,039,384,0.6,255.1,296,0.6,88,0.4
marin county,2007,06041,06,041,128,0.2,50.6,94,0.2,34,0.2
mariposa county,2007,06043,06,043,35,0.1,188,32,0.1,3,0
mendocino county,2007,06045,06,045,103,0.2,113,87,0.2,16,0.1
merced county,2007,06047,06,047,448,0.7,175.3,329,0.7,119,0.6
modoc county,2007,06049,06,049,9,0,86.1,8,0,1,0
mono county,2007,06051,06,051,24,0,170,18,0,6,0
monterey county,2007,06053,06,053,744,1.1,175.2,569,1.2,175,0.8
napa county,2007,06055,06,055,179,0.3,130.5,141,0.3,38,0.2
nevada county,2007,06057,06,057,40,0.1,39.9,36,0.1,4,0
orange county,2007,06059,06,059,5120,7.6,164.3,3445,7.3,1675,8
placer county,2007,06061,06,061,410,0.6,125.2,326,0.7,84,0.4
plumas county,2007,06063,06,063,36,0.1,166.7,32,0.1,4,0
riverside county,2007,06065,06,065,4282,6.3,207.7,2806,6,1476,7.1
sacramento county,2007,06067,06,067,2253,3.3,160,1583,3.4,670,3.2
san benito county,2007,06069,06,069,75,0.1,126.8,51,0.1,24,0.1
san bernardino county,2007,06071,06,071,5981,8.8,290.9,3910,8.3,2071,10
san diego county,2007,06073,06,073,4450,6.6,143.2,2942,6.3,1508,7.2
san francisco county,2007,06075,06,075,478,0.7,59.3,371,0.8,107,0.5
san joaquin county,2007,06077,06,077,1145,1.7,165.9,918,2,227,1.1
san luis obispo county,2007,06079,06,079,314,0.5,118.7,226,0.5,88,0.4
san mateo county,2007,06081,06,081,801,1.2,109.9,580,1.2,221,1.1
santa barbara county,2007,06083,06,083,806,1.2,190.4,574,1.2,232,1.1
santa clara county,2007,06085,06,085,2313,3.4,128.8,1758,3.7,555,2.7
santa cruz county,2007,06087,06,087,150,0.2,56.7,109,0.2,41,0.2
shasta county,2007,06089,06,089,525,0.8,285.3,409,0.9,116,0.6
sierra county,2007,06091,06,091,4,0,109.1,4,0,0,0
siskiyou county,2007,06093,06,093,67,0.1,144.4,55,0.1,12,0.1
solano county,2007,06095,06,095,756,1.1,177.1,523,1.1,233,1.1
sonoma county,2007,06097,06,097,478,0.7,98.8,383,0.8,95,0.5
stanislaus county,2007,06099,06,099,922,1.4,174.2,613,1.3,309,1.5
sutter county,2007,06101,06,101,268,0.4,280.4,221,0.5,47,0.2
tehama county,2007,06103,06,103,183,0.3,291.4,134,0.3,49,0.2
trinity county,2007,06105,06,105,14,0,95.3,12,0,2,0
tulare county,2007,06107,06,107,1000,1.5,229,765,1.6,235,1.1
tuolumne county,2007,06109,06,109,94,0.1,162.4,76,0.2,18,0.1
ventura county,2007,06111,06,111,876,1.3,105.7,693,1.5,183,0.9
yolo county,2007,06113,06,113,404,0.6,206.2,292,0.6,112,0.5
yuba county,2007,06115,06,115,250,0.4,334.8,196,0.4,54,0.3
alameda county,2006,06001,06,001,1437,2.1,95.1,1029,2.1,408,2
alpine county,2006,06003,06,003,1,0,75.7,1,0,0,0
amador county,2006,06005,06,005,76,0.1,197.3,66,0.1,10,0
butte county,2006,06007,06,007,554,0.8,255,452,0.9,102,0.5
calaveras county,2006,06009,06,009,76,0.1,166.6,63,0.1,13,0.1
colusa county,2006,06011,06,011,29,0,132.3,24,0,5,0
contra costa county,2006,06013,06,013,568,0.8,55,401,0.8,167,0.8
del norte county,2006,06015,06,015,46,0.1,155.1,36,0.1,10,0
el dorado county,2006,06017,06,017,171,0.2,96.3,128,0.3,43,0.2
fresno county,2006,06019,06,019,2406,3.5,264.2,1755,3.6,651,3.1
glenn county,2006,06021,06,021,91,0.1,313.2,80,0.2,11,0.1
humboldt county,2006,06023,06,023,304,0.4,230.7,187,0.4,117,0.6
imperial county,2006,06025,06,025,150,0.2,88.1,87,0.2,63,0.3
inyo county,2006,06027,06,027,51,0.1,270.3,40,0.1,11,0.1
kern county,2006,06029,06,029,2416,3.5,302.2,1731,3.6,685,3.3
kings county,2006,06031,06,031,563,0.8,373.4,467,1,96,0.5
lake county,2006,06033,06,033,221,0.3,342.8,176,0.4,45,0.2
lassen county,2006,06035,06,035,67,0.1,183.3,58,0.1,9,0
los angeles county,2006,06037,06,037,23110,33.3,225.2,15760,32.4,7350,35.4
madera county,2006,06039,06,039,339,0.5,231.1,267,0.5,72,0.3
marin county,2006,06041,06,041,114,0.2,45.1,94,0.2,20,0.1
mariposa county,2006,06043,06,043,18,0,97.6,14,0,4,0
mendocino county,2006,06045,06,045,137,0.2,151.4,117,0.2,20,0.1
merced county,2006,06047,06,047,504,0.7,201.8,386,0.8,118,0.6
modoc county,2006,06049,06,049,13,0,125.8,12,0,1,0
mono county,2006,06051,06,051,14,0,100.8,10,0,4,0
monterey county,2006,06053,06,053,727,1,172.3,559,1.1,168,0.8
napa county,2006,06055,06,055,175,0.3,129.3,147,0.3,28,0.1
nevada county,2006,06057,06,057,37,0.1,37.2,32,0.1,5,0
orange county,2006,06059,06,059,4652,6.7,151.1,3168,6.5,1484,7.1
placer county,2006,06061,06,061,348,0.5,108.5,267,0.5,81,0.4
plumas county,2006,06063,06,063,37,0.1,171.7,33,0.1,4,0
riverside county,2006,06065,06,065,4708,6.8,234.8,2992,6.2,1716,8.3
sacramento county,2006,06067,06,067,1895,2.7,135.9,1288,2.6,607,2.9
san benito county,2006,06069,06,069,73,0.1,126.8,53,0.1,20,0.1
san bernardino county,2006,06071,06,071,6385,9.2,316.6,4315,8.9,2070,10
san diego county,2006,06073,06,073,4552,6.6,148,3023,6.2,1529,7.4
san francisco county,2006,06075,06,075,498,0.7,62.1,405,0.8,93,0.4
san joaquin county,2006,06077,06,077,1190,1.7,176.6,964,2,226,1.1
san luis obispo county,2006,06079,06,079,302,0.4,114.9,215,0.4,87,0.4
san mateo county,2006,06081,06,081,816,1.2,112.4,629,1.3,187,0.9
santa barbara county,2006,06083,06,083,798,1.1,190.2,592,1.2,206,1
santa clara county,2006,06085,06,085,2467,3.6,138.5,1830,3.8,637,3.1
santa cruz county,2006,06087,06,087,160,0.2,60.8,127,0.3,33,0.2
shasta county,2006,06089,06,089,616,0.9,339.3,488,1,128,0.6
sierra county,2006,06091,06,091,6,0,163,5,0,1,0
siskiyou county,2006,06093,06,093,95,0.1,205.5,79,0.2,16,0.1
solano county,2006,06095,06,095,810,1.2,191.8,566,1.2,244,1.2
sonoma county,2006,06097,06,097,505,0.7,105.1,391,0.8,114,0.5
stanislaus county,2006,06099,06,099,832,1.2,160.1,573,1.2,259,1.2
sutter county,2006,06101,06,101,300,0.4,321.2,249,0.5,51,0.2
tehama county,2006,06103,06,103,217,0.3,350.5,173,0.4,44,0.2
trinity county,2006,06105,06,105,31,0,213.3,23,0,8,0
tulare county,2006,06107,06,107,1030,1.5,241.2,782,1.6,248,1.2
tuolumne county,2006,06109,06,109,108,0.2,187.4,86,0.2,22,0.1
ventura county,2006,06111,06,111,903,1.3,110.1,679,1.4,224,1.1
yolo county,2006,06113,06,113,431,0.6,223.9,288,0.6,143,0.7
yuba county,2006,06115,06,115,228,0.3,313.1,177,0.4,51,0.2
alameda county,2005,06001,06,001,1755,2.6,114.1,1220,2.5,535,2.7
alpine county,2005,06003,06,003,1,0,75,1,0,0,0
amador county,2005,06005,06,005,91,0.1,240.9,83,0.2,8,0
butte county,2005,06007,06,007,486,0.7,223.9,405,0.8,81,0.4
calaveras county,2005,06009,06,009,70,0.1,154.5,63,0.1,7,0
colusa county,2005,06011,06,011,50,0.1,238.6,48,0.1,2,0
contra costa county,2005,06013,06,013,529,0.8,51.1,404,0.8,125,0.6
del norte county,2005,06015,06,015,78,0.1,272.5,65,0.1,13,0.1
el dorado county,2005,06017,06,017,155,0.2,89,129,0.3,26,0.1
fresno county,2005,06019,06,019,2211,3.2,250.5,1695,3.5,516,2.6
glenn county,2005,06021,06,021,74,0.1,261.6,58,0.1,16,0.1
humboldt county,2005,06023,06,023,272,0.4,207.8,188,0.4,84,0.4
imperial county,2005,06025,06,025,169,0.2,105.3,114,0.2,55,0.3
inyo county,2005,06027,06,027,55,0.1,296.8,46,0.1,9,0
kern county,2005,06029,06,029,2243,3.3,300.4,1633,3.4,610,3.1
kings county,2005,06031,06,031,500,0.7,347.9,410,0.8,90,0.5
lake county,2005,06033,06,033,199,0.3,309.1,173,0.4,26,0.1
lassen county,2005,06035,06,035,45,0.1,123.9,38,0.1,7,0
los angeles county,2005,06037,06,037,22003,32.2,216.9,15237,31.3,6766,34.2
madera county,2005,06039,06,039,329,0.5,237.1,259,0.5,70,0.4
marin county,2005,06041,06,041,86,0.1,34.2,72,0.1,14,0.1
mariposa county,2005,06043,06,043,31,0,170.1,26,0.1,5,0
mendocino county,2005,06045,06,045,152,0.2,167.4,126,0.3,26,0.1
merced county,2005,06047,06,047,574,0.8,234.6,456,0.9,118,0.6
modoc county,2005,06049,06,049,25,0,258.9,23,0,2,0
mono county,2005,06051,06,051,13,0,93.3,10,0,3,0
monterey county,2005,06053,06,053,687,1,160.2,529,1.1,158,0.8
napa county,2005,06055,06,055,182,0.3,135.4,159,0.3,23,0.1
nevada county,2005,06057,06,057,48,0.1,48.2,45,0.1,3,0
orange county,2005,06059,06,059,4776,7,155.3,3243,6.7,1533,7.8
placer county,2005,06061,06,061,400,0.6,131.8,303,0.6,97,0.5
plumas county,2005,06063,06,063,41,0.1,193.7,38,0.1,3,0
riverside county,2005,06065,06,065,5119,7.5,273.5,3407,7,1712,8.7
sacramento county,2005,06067,06,067,2180,3.2,156.3,1484,3.1,696,3.5
san benito county,2005,06069,06,069,72,0.1,123.2,60,0.1,12,0.1
san bernardino county,2005,06071,06,071,6103,8.9,314.2,4117,8.5,1986,10.1
san diego county,2005,06073,06,073,4717,6.9,154,3152,6.5,1565,7.9
san francisco county,2005,06075,06,075,436,0.6,54.8,331,0.7,105,0.5
san joaquin county,2005,06077,06,077,1004,1.5,152.2,863,1.8,141,0.7
san luis obispo county,2005,06079,06,079,357,0.5,135.9,263,0.5,94,0.5
san mateo county,2005,06081,06,081,787,1.2,108.8,601,1.2,186,0.9
santa barbara county,2005,06083,06,083,879,1.3,209.5,654,1.3,225,1.1
santa clara county,2005,06085,06,085,2388,3.5,135.9,1799,3.7,589,3
santa cruz county,2005,06087,06,087,251,0.4,95.7,207,0.4,44,0.2
shasta county,2005,06089,06,089,607,0.9,334.6,471,1,136,0.7
sierra county,2005,06091,06,091,6,0,168,6,0,0,0
siskiyou county,2005,06093,06,093,64,0.1,141.4,48,0.1,16,0.1
solano county,2005,06095,06,095,746,1.1,174.5,550,1.1,196,1
sonoma county,2005,06097,06,097,433,0.6,89.1,363,0.7,70,0.4
stanislaus county,2005,06099,06,099,863,1.3,169.7,573,1.2,290,1.5
sutter county,2005,06101,06,101,276,0.4,312.6,233,0.5,43,0.2
tehama county,2005,06103,06,103,261,0.4,436.5,212,0.4,49,0.2
trinity county,2005,06105,06,105,15,0,111,12,0,3,0
tulare county,2005,06107,06,107,910,1.3,222.9,700,1.4,210,1.1
tuolumne county,2005,06109,06,109,107,0.2,184.5,83,0.2,24,0.1
ventura county,2005,06111,06,111,722,1.1,88.3,553,1.1,169,0.9
yolo county,2005,06113,06,113,510,0.7,262.4,397,0.8,113,0.6
yuba county,2005,06115,06,115,220,0.3,330.8,170,0.3,50,0.3
alameda county,2004,06001,06,001,1631,2.5,104.9,1169,2.5,462,2.6
alpine county,2004,06003,06,003,1,0,74.4,1,0,0,0
amador county,2004,06005,06,005,73,0.1,200.7,63,0.1,10,0.1
butte county,2004,06007,06,007,598,0.9,260.1,516,1.1,82,0.5
calaveras county,2004,06009,06,009,71,0.1,150.1,65,0.1,6,0
colusa county,2004,06011,06,011,36,0.1,143.2,32,0.1,4,0
contra costa county,2004,06013,06,013,620,1,63.7,478,1,142,0.8
del norte county,2004,06015,06,015,50,0.1,148.2,43,0.1,7,0
el dorado county,2004,06017,06,017,158,0.2,85.1,122,0.3,36,0.2
fresno county,2004,06019,06,019,2066,3.2,237.9,1631,3.5,435,2.4
glenn county,2004,06021,06,021,79,0.1,237.5,70,0.1,9,0.1
humboldt county,2004,06023,06,023,278,0.4,211.3,193,0.4,85,0.5
imperial county,2004,06025,06,025,230,0.4,126.9,160,0.3,70,0.4
inyo county,2004,06027,06,027,40,0.1,213.2,33,0.1,7,0
kern county,2004,06029,06,029,2262,3.5,302.6,1653,3.5,609,3.4
kings county,2004,06031,06,031,525,0.8,381.7,445,1,80,0.4
lake county,2004,06033,06,033,204,0.3,300.6,169,0.4,35,0.2
lassen county,2004,06035,06,035,49,0.1,125.2,40,0.1,9,0.1
los angeles county,2004,06037,06,037,21452,33.2,211,15128,32.3,6324,35.4
madera county,2004,06039,06,039,343,0.5,236.5,282,0.6,61,0.3
marin county,2004,06041,06,041,77,0.1,30.4,62,0.1,15,0.1
mariposa county,2004,06043,06,043,29,0,156.8,26,0.1,3,0
mendocino county,2004,06045,06,045,184,0.3,190.6,160,0.3,24,0.1
merced county,2004,06047,06,047,505,0.8,215.4,398,0.9,107,0.6
modoc county,2004,06049,06,049,24,0,220.2,22,0,2,0
mono county,2004,06051,06,051,11,0,95.1,7,0,4,0
monterey county,2004,06053,06,053,649,1,149.9,500,1.1,149,0.8
napa county,2004,06055,06,055,164,0.3,121.9,126,0.3,38,0.2
nevada county,2004,06057,06,057,45,0.1,41.9,36,0.1,9,0.1
orange county,2004,06059,06,059,4368,6.8,146.3,3211,6.9,1157,6.5
placer county,2004,06061,06,061,375,0.6,134.4,285,0.6,90,0.5
