county,year,state_county_fips,state_fips_code,county_fips_code,total_admission_count,total_admission_percent,total_rate_per_100k_county_pop,felon_new_admission_count,felon_new_admission_percent,parole_violator_new_term_count,parole_violator_new_term_percent
alameda county,2010,06001,06,001,1194,2,77,870,2.1,324,1.9
alpine county,2010,06003,06,003,4,0,292.2,4,0,0,0
amador county,2010,06005,06,005,87,0.1,215.7,75,0.2,12,0.1
butte county,2010,06007,06,007,500,0.9,217.3,416,1,84,0.5
calaveras county,2010,06009,06,009,43,0.1,90.1,34,0.1,9,0.1
colusa county,2010,06011,06,011,36,0.1,151.3,28,0.1,8,0
contra costa county,2010,06013,06,013,455,0.8,42.3,368,0.9,87,0.5
del norte county,2010,06015,06,015,32,0.1,103.3,25,0.1,7,0
el dorado county,2010,06017,06,017,179,0.3,94.6,146,0.4,33,0.2
fresno county,2010,06019,06,019,1727,2.9,175.6,1247,3,480,2.8
glenn county,2010,06021,06,021,51,0.1,165.2,45,0.1,6,0
humboldt county,2010,06023,06,023,301,0.5,223.3,216,0.5,85,0.5
imperial county,2010,06025,06,025,193,0.3,101.8,133,0.3,60,0.3
inyo county,2010,06027,06,027,21,0,109.5,19,0,2,0
kern county,2010,06029,06,029,2296,3.9,263.4,1593,3.8,703,4.1
kings county,2010,06031,06,031,644,1.1,391.4,516,1.2,128,0.7
lake county,2010,06033,06,033,148,0.3,219.2,122,0.3,26,0.2
lassen county,2010,06035,06,035,57,0.1,150.3,43,0.1,14,0.1
los angeles county,2010,06037,06,037,19025,32.4,180.9,13170,31.7,5855,34.1
madera county,2010,06039,06,039,201,0.3,124,136,0.3,65,0.4
marin county,2010,06041,06,041,115,0.2,45.3,86,0.2,29,0.2
mariposa county,2010,06043,06,043,28,0,146.5,25,0.1,3,0
mendocino county,2010,06045,06,045,120,0.2,128.8,96,0.2,24,0.1
merced county,2010,06047,06,047,369,0.6,134.7,276,0.7,93,0.5
modoc county,2010,06049,06,049,6,0,55.5,5,0,1,0
mono county,2010,06051,06,051,7,0,47.2,5,0,2,0
monterey county,2010,06053,06,053,641,1.1,147.9,487,1.2,154,0.9
napa county,2010,06055,06,055,162,0.3,113.5,126,0.3,36,0.2
nevada county,2010,06057,06,057,38,0.1,37,31,0.1,7,0
orange county,2010,06059,06,059,3513,6,108.8,2316,5.6,1197,7
placer county,2010,06061,06,061,370,0.6,106.5,263,0.6,107,0.6
plumas county,2010,06063,06,063,25,0,114.6,23,0.1,2,0
riverside county,2010,06065,06,065,3550,6,158.5,2477,6,1073,6.2
sacramento county,2010,06067,06,067,2130,3.6,146.7,1453,3.5,677,3.9
san benito county,2010,06069,06,069,79,0.1,123,63,0.2,16,0.1
san bernardino county,2010,06071,06,071,5800,9.9,266.3,3978,9.6,1822,10.6
san diego county,2010,06073,06,073,3945,6.7,123.3,2768,6.7,1177,6.8
san francisco county,2010,06075,06,075,569,1,69.5,394,0.9,175,1
